id,date,description,amount,category
1,02/01/24,Salary Credit,95000,Income
2,03/01/24,Swiggy Order,-420,Food & Dining
3,04/01/24,Uber Ride,-190,Transport
4,05/01/24,Amazon Purchase,-3499,Shopping
5,06/01/24,Netflix Subscription,-649,Entertainment
6,07/01/24,PhonePe Transfer,-2100,Transfer
7,08/01/24,Doctor Consultation,-1100,Healthcare
8,09/01/24,SIP - Zerodha,-10000,Investment
9,10/01/24,Petrol,-2800,Transport
10,11/01/24,HDFC Payment,-12000,Finance
11,12/01/24,Freelance Payment,9000,Income
12,13/01/24,Zepto Groceries,-870,Groceries
13,14/01/24,Blikit Order,-560,Groceries
14,15/01/24,YouTube Premium,-189,Entertainment
15,16/01/24,ATM Withdrawal,-4000,Cash
16,17/01/24,BookMyShow,-600,Entertainment
17,18/01/24,Medplus Pharmacy,-800,Healthcare
18,19/01/24,Rent Payment,-28000,Housing
19,20/01/24,Gym Membership,-2000,Health & Fitness
20,21/01/24,Airtel Postpaid,-999,Utilities
